customer_id,full_name,email,phone,postcode,region,property_type,package,monthly_charges,contract_type,tenure_months,install_date,payment_method,nps_score,support_tickets,churn
10031,Emily Turner,emily.turner12@btinternet.com,07xx,SO31 8JT,Wiltshire,Farmhouse,Fibre 100,29.32,24-month,71,2024-12-05,Direct Debit,4,3,No
10109,Noah Roberts,noah.roberts48@btinternet.com,07973832060,CB35 6AP,Oxfordshire,Terraced,Fibre 500,55.62,24-month,32,2025-05-04,Direct Debit,8,1,Yes
10136,Emily Thomas,emily.thomas23@gmail.com,07045561100,SN43 3PQ,Berkshire,Bungalow,Fibre 900,64.87,24-month,7,2020-06-27,Credit Card,2,0,Yes
10088,Poppy Roberts,poppy.roberts35@gmail.com,07xx,NN29 6LE,Wiltshire,Detached,Fibre 300,44.3,12-month,10,2024-09-17,Credit Card,1,0,No
10918,Isla Hughes,,07225647185,MK39 5AT,Wiltshire,Semi-detached,Fibre 500,52.99,12-month,56,2025-04-05,Bank Transfer,3,0,Yes
10885,George Wilson,,07331454615,RG19 4FQ,Gloucestershire,Detached,Fibre 300,44.82,24-month,1,2023-09-17,Credit Card,9,2,no
10870,Charlie Wright,charlie.wright80@btinternet.com,07890623272,CB42 8ET,Oxfordshire,Semi-detached,Fibre 500,59.18,Monthly,40,Nov 2023,Bank Transfer,0,0,Yes
10318,Lily Brown,lily.brown97@yahoo.co.uk,07090138069,NN32 8PZ,Hampshire,Cottage,Fibre 100,30.59,12-month,8,2022-04-12,Bank Transfer,,3,No
10261,Olivia Davies,olivia.davies34@btinternet.com,07276170758,RG30 8EF,Gloucestershire,Cottage,Fibre 300,43.65,12-month,5,2021-03-24,Bank Transfer,4,1,0
10535,Poppy Walker,poppy.walker32@yahoo.co.uk,07674978524,GL17 2RX,Hampshire,Detached,Fibre 300,43.46,12-month,64,2023-08-18,Bank Transfer,,3,No
10919,Thomas Clarke,thomas.clarke49@yahoo.co.uk,07474370194,MK13 2DT,Berkshire,Farmhouse,Fibre 100,34.77,24-month,37,2023-06-02,Credit Card,2,5,Yes
10596,Grace Smith,grace.smith40@outlook.com,07838935953,SN43 9AN,Oxfordshire,Cottage,Fibre 900,69.71,24-month,23,2020-03-23,Bank Transfer,9,3,No
10076,Olivia Turner,olivia.turner22@outlook.com,07587139718,RG4 8FW,Hampshire,Farmhouse,Fibre 300,46.94,24-month,69,2023-11-26,Credit Card,0,3,No
10107,Jack Hall,jack.hall34@gmail.com,07917785079,12345,Gloucestershire,Semi-detached,Fibre 500,58.18,Monthly,68,2020-01-08,Direct Debit,7,2,Yes
10424,Jack Brown,jack.brown9@outlook.com,07583503446,NN24 7LX,Cambridgeshire,Detached,Fibre 100,32.14,Monthly,60,2025-04-09,Direct Debit,4,0,No
10584,Isla Turner,isla.turner67@outlook.com,07363816432,GL10 7ZN,Wiltshire,Bungalow,Fibre 900,66.99,24-month,64,2025-12-10,Credit Card,4,0,No
10853,Poppy Hughes,poppy.hughes57@outlook.com,07739238520,SN16 3AY,Gloucestershire,Cottage,Fibre 300,47.81,Monthly,34,2020-07-20,Direct Debit,3,0,No
10664,James Taylor,james.taylor59@yahoo.co.uk,07898260418,OX49 6FD,Berkshire,Cottage,Fibre 300,45.34,12-month,56,Aug 2020,Credit Card,4,0,No
10829,Thomas Smith,thomas.smith49@outlook.com,07524055364,GL45 9TQ,Northamptonshire,Terraced,Fibre 300,43.1,Monthly,38,2023-12-09,Bank Transfer,8,0,No
10420,Sophie Turner,sophie.turner74@outlook.com,07063757914,MK10 2EX,  Wiltshire ,Semi-detached,Fibre 100,34.04,12-month,58,2024-04-03,Direct Debit,6,5,No
10597,James Turner,james.turner70@yahoo.co.uk,07264186965,SO41 2HA,Berkshire,Farmhouse,Fibre 300,43.68,24-month,52,2021-04-26,Bank Transfer,5,2,No
10458,Charlie Walker,charlie.walker36@btinternet.com,07113257970,SO45 8JL,Hampshire,Detached,Fibre 300,43.7,24-month,28,2022-05-18,Credit Card,7,1,No
10312,George Taylor,george.taylor31@outlook.com,07816742336,SN39 4NN,BERKSHIRE,Terraced,Fibre 300,44.4,12-month,71,2020-06-13,Credit Card,2,5,Yes
10649,Emily Wood,emily.wood38@gmail.com,07664896676,OX21 7LG,Oxfordshire,Cottage,Fibre 500,55.19,12-month,23,2023-08-11,Bank Transfer,0,5,No
10365,Noah Patel,,07605384444,SO44 4AS,Oxfordshire,Detached,Fibre 100,28.17,12-month,45,Dec 2024,Credit Card,5,0,Yes
10321,Harry Brown,a@b,07643471287,GL45 6JY,Gloucestershire,Terraced,Fibre 900,65.39,24-month,4,2025-12-24,Credit Card,10,3,No
10629,George Thomas,george.thomas71@yahoo.co.uk,07585642304,GL48 3AF,Berkshire,Detached,Fibre 300,45.95,12-month,55,2024-03-16,Direct Debit,8,5,No
10914,William Smith,william.smith59@gmail.com,07241553691,MK35 6PT,Northamptonshire,Bungalow,Fibre 100,34.49,12-month,36,2021-08-19,Credit Card,0,0,No
10468,Henry Evans,henry.evans19@outlook.com,07311649133,NN12 5PT,Northamptonshire,Semi-detached,Fibre 300,45.29,12-month,29,2025-03-19,Bank Transfer,0,3,No
10598,Oliver Evans,oliver.evans31@outlook.com,07948400273,OX1 9SZ,Hampshire,Farmhouse,Fibre 500,53.43,Monthly,52,2020-07-17,Direct Debit,1,0,No
10394,Harry Hughes,harry.hughes5@outlook.com,07205698152,RG13 4YU,Buckinghamshire,Cottage,Fibre 100,32.32,24-month,,2021-02-15,Credit Card,10,3,No
10536,Oliver Jones,oliver.jones61@gmail.com,07665122150,OX5 5EX,Northamptonshire,Semi-detached,Fibre 900,£68.48,24-month,63,2025-07-07,Direct Debit,10,0,No
10720,Thomas Jones,thomas.jones81@gmail.com,07392519994,MK12 6EU,Gloucestershire,Semi-detached,Fibre 900,64.22,12-month,,2023-12-09,Direct Debit,3,5,No
10333,Emily Taylor,emily.taylor12@yahoo.co.uk,07113129014,RG1 7WF,Berkshire,Farmhouse,Fibre 500,56.6,24-month,53,2024-12-04,Credit Card,0,1,No
10409,George Green,george.green44@gmail.com,07599910157,SO41 8SN,Berkshire,Terraced,Fibre 300,43.93,Monthly,38,2025-10-27,Bank Transfer,1,0,No
10059,Isla Clarke,isla.clarke94@gmail.com,07596401658,,Oxfordshire,Semi-detached,Fibre 500,53.46,24-month,58,2022-06-13,Bank Transfer,0,0,Yes
10256,Isla Davies,isla.davies58@yahoo.co.uk,07724295431,SO24 3RR,Cambridgeshire,Detached,Fibre 300,49.63,24-month,53,2025-10-21,Direct Debit,1,5,No
10969,Sophie Hall,sophie.hall45@btinternet.com,07561927671,CB29 8EW,Hampshire,Semi-detached,Fibre 900,68.92,Monthly,19,2024-06-13,Direct Debit,2,3,Yes
10685,Thomas Patel,thomas.patel32@gmail.com,07530281650,SO17 7HA,Oxfordshire,Cottage,Fibre 500,58.0,24-month,17,2021-08-15,Credit Card,5,3,No
10342,George Evans,george.evans98@yahoo.co.uk,07855716176,OX11 5FN,Oxfordshire,Bungalow,Fibre 900,63.42,24-month,71,2021-12-27,Credit Card,99,0,No
10635,Olivia Thomas,olivia.thomas13@btinternet.com,07459011079,RG43 8EL,Oxfordshire,Detached,Fibre 900,68.23,12-month,54,2024-04-18,Bank Transfer,,1,No
10708,Jack Evans,jack.evans93@btinternet.com,07025512827,SO44 4SN,Cambridgeshire,Detached,Fibre 100,33.96,24-month,48,2022-09-20,Bank Transfer,9,2,Yes
10010,Charlie Williams,charlie.williams97@yahoo.co.uk,07107991183,NN9 6DJ,Buckinghamshire,Cottage,Fibre 500,54.09,24-month,59,2025-05-20,Bank Transfer,8,0,No
10485,Thomas Brown,thomas.brown72@gmail.com,07051208005,SO20 1YY,Buckinghamshire,Detached,Fibre 500,59.68,Monthly,3,2025-10-16,Direct Debit,8,1,Y
10209,George Roberts,george.roberts10@gmail.com,07027621267,SO40 3TW,Hampshire,Bungalow,Fibre 300,48.73,12-month,18,2022-04-06,Credit Card,9,0,Yes
